"","ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification","Site"
"468","Ca_519","Artec.Spider","AU10","Chert","Core","Other","Other","0%","Other",1137.156006,720.8571876,28.79999924,9.899999619,9.899999619,"Bipolar","Cala"
"469","Ca_520","Artec.Spider","AU13","Jasper","Core","Other","Other","1-33%","Other",1527.863892,830.1768349,21.89999962,9.399999619,16,"Bipolar","Cala"
"470","Ca_521","Artec.Spider","AU10","Chert","Core","Other","Other","0%","Other",1758.684204,1032.505159,24.60000038,17.70000076,11.39999962,"Bipolar","Cala"
"471","Ca_522","Artec.Spider","AU12","Jasper","Core","Other","Other","1-33%","Other",4915.174805,2145.169764,38.70000076,28.60000038,12.69999981,"Bipolar","Cala"
"472","Ca_523","Artec.Spider","AU12","Jasper","Core","Flake","Undetermined","33-66%","Complete",5280.525879,2082.890373,40.40000153,20.60000038,15.19999981,"Multidirectional","Cala"
"473","Ca_524","Artec.Spider","AU11","Jasper","Core","Other","Other","0%","Other",3116.657715,1514.66219,39.79999924,11.69999981,14.5,"Narrow-sided","Cala"
"474","Ca_525","Artec.Spider","AU12","Jasper","Blank","Flake","Optimal","0%","Complete",2692.328613,1483.843235,33.40000153,18.60000038,7.5,NA,"Cala"
"475","Ca_526","Artec.Spider","AU12","Jasper","Core","Other","Other","1-33%","Other",3468.241699,1536.018899,33,15.5,16.89999962,"Bipolar","Cala"
"476","Ca_527","Artec.Spider","AU10","Chert","Blank","Flake","Maintenance","0%","Complete",1642.555054,1401.881265,29.60000038,25.89999962,3.700000048,NA,"Cala"
"477","Ca_528","Artec.Spider","AU11","Chert","Core","Other","Other","0%","Other",7607.953613,2605.245588,34.20000076,36.90000153,23.20000076,"Bipolar","Cala"
"478","Ca_529","Artec.Spider","AU13","Chert","Core","Other","Other","0%","Other",9420.744141,2982.752626,32.5,43.90000153,25,"Multidirectional","Cala"
"479","Ca_530","Artec.Spider","AU11","Chert","Core","Other","Other","66-99%","Other",70584.39063,12367.35187,876,47,43,"Tested","Cala"
