ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
Ca_379,Cala,AU12,Jasper,Core,Other,Other,Bipolar,1-33%,Other,4259.614746,1702.881986,26.70000076,26,16.20000076,Ca_379.ply,1 unit = 1mm,445326,0.096271,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_38,Cala,AU12,Jasper,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,2796.625977,1215.795482,15,24.29999924,23.5,Ca_38.ply,1 unit = 1mm,300000,0.103052,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_380,Cala,AU13,Jasper,Core,Other,Other,Bipolar,0%,Other,1794.3396,1057.832596,24.10000038,20.70000076,8.300000191,Ca_380.ply,1 unit = 1mm,292278,0.093788,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_381,Cala,AU13,Jasper,Core,Other,Other,Bipolar,0%,Other,1413.050781,1029.429658,34.5,14,8.800000191,Ca_381.ply,1 unit = 1mm,268078,0.100589,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_382,Cala,AU12,Jasper,Core,Other,Other,Bipolar,0%,Other,688.326355,519.037699,22,8.5,7.900000095,Ca_382.ply,1 unit = 1mm,120334,0.101862,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_383,Cala,AU12,Quartzite,Tool,Blade,Optimal,NA,0%,Complete,7823.672852,3461.004965,63.29999924,24.60000038,9.800000191,Ca_383.ply,1 unit = 1mm,600000,0.117383,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_384,Cala,AU12,Jasper,Tool,Blade,Optimal,NA,0%,Complete,3484.947998,2125.2879,53.90000153,21.10000038,6.099999905,Ca_384.ply,1 unit = 1mm,560922,0.100356,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_385,Cala,AU12,Quartzite,Tool,Blade,Optimal,NA,0%,Proximal,4223.986816,2239.638554,44.79999924,25.29999924,7,Ca_385.ply,1 unit = 1mm,596436,0.096099,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_386,Cala,AU12,Jasper,Tool,Blade,Optimal,NA,0%,Complete,2793.221924,1888.056324,48.90000153,21.10000038,5,Ca_386.ply,1 unit = 1mm,494124,0.100876,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_388,Cala,AU12,Jasper,Tool,Blade,Maintenance,NA,33-66%,Mesial,2565.918701,1520.476233,46.5,13.30000019,8,Ca_388.ply,1 unit = 1mm,394672,0.100723,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_389,Cala,AU12,Jasper,Tool,Blade,Semi-cortical,NA,1-33%,Complete,819.2695313,865.5580962,36,13.60000038,3.799999952,Ca_389.ply,1 unit = 1mm,218424,0.10236,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_39,Cala,AU12,Jasper,Core-Tool,Flake,Optimal,Carinated,0%,Distal,2102.728271,1066.526384,11,21.79999924,21.5,Ca_39.ply,1 unit = 1mm,267530,0.102227,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_392,Cala,AU13,Chert,Tool,Blade,Semi-cortical,NA,1-33%,Complete,6946.201172,3120.399457,65.5,23.39999962,12,Ca_392.ply,1 unit = 1mm,600000,0.115502,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_395,Cala,AU13,Jasper,Tool,Blade,Maintenance,NA,1-33%,Complete,4031.341064,2209.933218,50.09999847,18.29999924,12.10000038,Ca_395.ply,1 unit = 1mm,547462,0.101957,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_396,Cala,AU13,Jasper,Tool,Blade,Semi-cortical,NA,33-66%,Complete,6769.893066,2833.015437,55.70000076,27.20000076,11.30000019,Ca_396.ply,1 unit = 1mm,600000,0.110282,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
